date,temp_max,temp_min,temp_avg,precipitation,rain,snowfall,wind_max,temp_avg_lag1,temp_max_lag1,temp_min_lag1,temp_avg_lag2,temp_max_lag2,temp_min_lag2,temp_avg_lag3,temp_max_lag3,temp_min_lag3,temp_avg_lag7,temp_max_lag7,temp_min_lag7,temp_avg_ma3,temp_avg_std3,temp_max_rolling3,temp_min_rolling3,temp_avg_ma7,temp_avg_std7,temp_max_rolling7,temp_min_rolling7,temp_avg_ma14,temp_avg_std14,temp_max_rolling14,temp_min_rolling14,temp_avg_ma30,temp_avg_std30,temp_max_rolling30,temp_min_rolling30,temp_range,temp_range_lag1,temp_range_ma7,temp_avg_change,temp_avg_change_pct,temp_max_change,temp_min_change,sin_day,cos_day,month,sin_month,cos_month,week_of_year,season,temp_dev_from_ma7,temp_dev_from_ma30,is_extreme_heat,is_extreme_cold,target_temp_avg,target_temp_avg_smooth
2023-08-16,26.5,20.4,22.8,4.0,4.0,0.0,14.4,23.8,26.9,21.1,24.5,30.8,18.6,25.3,30.6,21.4,24.3,29.4,19.6,23.7,0.8544003745320156,30.8,18.6,23.47142857142857,1.158611648647138,30.8,17.0,23.535714285714285,1.0630921103852315,30.8,15.5,23.780000000000005,1.6316693376987934,34.1,14.4,6.100000000000001,5.799999999999997,8.871428571428572,-1.0,-4.201680672268903,-0.3999999999999986,-0.7000000000000028,-0.7036774074790128,-0.7105196029692745,8,-0.8660254037844385,-0.5000000000000004,33,2,-0.6714285714285708,-0.980000000000004,0,0,22.8,23.47142857142857
2023-08-17,25.6,20.2,22.9,5.9,5.9,0.0,20.3,22.8,26.5,20.4,23.8,26.9,21.1,24.5,30.8,18.6,21.9,25.4,18.7,23.166666666666668,0.5507570547290422,26.9,20.2,23.614285714285717,0.9805246409083536,30.8,17.0,23.635714285714283,0.9119776843222499,30.8,17.0,23.716666666666665,1.6275819452506723,34.1,14.4,5.400000000000002,6.100000000000001,8.685714285714287,0.09999999999999787,0.43859649122806044,-0.8999999999999986,-0.1999999999999993,-0.7157953492826642,-0.6983101158835584,8,-0.8660254037844385,-0.5000000000000004,33,2,-0.7142857142857189,-0.8166666666666664,0,0,22.9,23.614285714285717
2023-08-18,26.8,18.5,23.5,3.1,3.1,0.0,25.3,22.9,25.6,20.2,22.8,26.5,20.4,23.8,26.9,21.1,23.3,29.1,18.0,23.066666666666663,0.37859388972065267,26.8,18.5,23.642857142857142,0.972723226920361,30.8,17.0,23.67142857142857,0.8947956977197713,30.8,17.0,23.740000000000002,1.6189822260531697,34.1,14.4,8.3,5.400000000000002,8.285714285714286,0.6000000000000014,2.6200873362445476,1.1999999999999993,-1.6999999999999993,-0.7277014757264236,-0.6858939875998223,8,-0.8660254037844385,-0.5000000000000004,33,2,-0.14285714285714235,-0.240000000000002,0,0,23.5,23.642857142857142
2023-08-19,26.3,15.3,20.6,0.0,0.0,0.0,21.0,23.5,26.8,18.5,22.9,25.6,20.2,22.8,26.5,20.4,22.7,28.0,17.0,22.333333333333332,1.5307950004275033,26.8,15.3,23.342857142857145,1.495389740566105,30.8,15.3,23.392857142857142,1.1789593101305769,30.8,15.3,23.623333333333335,1.7153834060889355,34.1,14.4,11.0,8.3,8.285714285714286,-2.8999999999999986,-12.340425531914889,-0.5,-3.1999999999999993,-0.7393922635959241,-0.673274892250183,8,-0.8660254037844385,-0.5000000000000004,33,2,-2.7428571428571438,-3.0233333333333334,0,0,20.6,23.342857142857145
2023-08-20,29.8,15.1,22.6,0.0,0.0,0.0,14.4,20.6,26.3,15.3,23.5,26.8,18.5,22.9,25.6,20.2,25.3,30.6,21.4,22.23333333333333,1.4843629385476604,29.8,15.1,22.957142857142856,1.2313368654394976,30.8,15.1,23.28571428571429,1.1779102374421635,30.8,15.1,23.569999999999997,1.7216972379923736,34.1,14.4,14.700000000000001,11.0,9.071428571428571,2.0,9.708737864077666,3.5,-0.20000000000000107,-0.7508642533989489,-0.6604565640279754,8,-0.8660254037844385,-0.5000000000000004,33,2,-0.3571428571428541,-0.9699999999999953,0,0,22.6,22.957142857142856
2023-08-21,31.0,18.3,25.1,0.1,0.1,0.0,15.6,22.6,29.8,15.1,20.6,26.3,15.3,23.5,26.8,18.5,24.5,30.8,18.6,22.766666666666666,2.254624876411558,31.0,15.1,23.042857142857144,1.3697410252271658,31.0,15.1,23.357142857142858,1.2586404666044786,31.0,15.1,23.626666666666665,1.7437441550184878,34.1,14.4,12.7,14.700000000000001,9.142857142857142,2.5,11.061946902654874,1.1999999999999993,3.200000000000001,-0.7621140503891487,-0.6474427960827475,8,-0.8660254037844385,-0.5000000000000004,34,2,2.057142857142857,1.4733333333333363,0,0,25.1,23.042857142857144
2023-08-22,26.0,17.8,21.8,0.0,0.0,0.0,22.7,25.1,31.0,18.3,22.6,29.8,15.1,20.6,26.3,15.3,23.8,26.9,21.1,23.166666666666668,1.7214335111568577,31.0,15.1,22.75714285714286,1.393864104874301,31.0,15.1,23.22142857142857,1.319777703559097,31.0,15.1,23.55666666666667,1.774276605060381,34.1,14.4,8.2,12.7,9.485714285714286,-3.3000000000000007,-13.147410358565736,-5.0,-0.5,-0.7731383255706026,-0.6342374393978054,8,-0.8660254037844385,-0.5000000000000004,34,2,-0.9571428571428591,-1.7566666666666677,0,0,21.8,22.75714285714286
2023-08-23,25.4,15.9,20.4,0.0,0.0,0.0,18.1,21.8,26.0,17.8,25.1,31.0,18.3,22.6,29.8,15.1,22.8,26.5,20.4,22.433333333333326,2.413158373031877,31.0,15.9,22.414285714285715,1.6527034130262055,31.0,15.1,22.942857142857147,1.4768543940068986,31.0,15.1,23.43,1.8603206990861834,34.1,14.4,9.499999999999998,8.2,9.971428571428572,-1.4000000000000021,-6.422018348623859,-0.6000000000000014,-1.9000000000000004,-0.7839338166829201,-0.620844401650647,8,-0.8660254037844385,-0.5000000000000004,34,2,-2.014285714285716,-3.030000000000001,0,0,20.4,22.414285714285715
2023-08-24,24.3,19.4,21.3,2.2,2.2,0.0,26.4,20.4,25.4,15.9,21.8,26.0,17.8,25.1,31.0,18.3,22.9,25.6,20.2,21.166666666666668,0.7094598884601524,26.0,15.9,22.185714285714287,1.6846647257229368,31.0,15.1,22.900000000000002,1.5175891812593787,31.0,15.1,23.37333333333333,1.8993525817723498,34.1,14.4,4.900000000000002,9.499999999999998,9.9,0.9000000000000021,4.4117647058823595,-1.0999999999999979,3.4999999999999982,-0.7944973291665992,-0.6072676460566135,8,-0.8660254037844385,-0.5000000000000004,34,2,-0.8857142857142861,-2.0733333333333306,0,0,21.3,22.185714285714287
2023-08-25,27.9,20.9,23.4,11.1,11.1,0.0,19.7,21.3,24.3,19.4,20.4,25.4,15.9,21.8,26.0,17.8,23.5,26.8,18.5,21.7,1.5394804318342405,27.9,15.9,22.17142857142857,1.6720389605850055,31.0,15.1,22.907142857142862,1.5198503396530993,31.0,15.1,23.35333333333333,1.895681723128261,34.1,14.4,7.0,4.900000000000002,9.714285714285714,2.099999999999998,9.859154929577452,3.599999999999998,1.5,-0.8048257371083452,-0.593511190196115,8,-0.8660254037844385,-0.5000000000000004,34,2,1.2285714285714278,0.046666666666666856,0,0,23.4,22.17142857142857
